
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003121 : South Gloucestershire 032",1,0,3,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,9,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,12,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,5,1,1,0,0,1,0,0,0,0,3,0,0,2



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Driving a car or van"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"usual residence : 2011 super output area - middle layer","E02002985 : Bath and North East Somerset 001","E02002986 : Bath and North East Somerset 002","E02002987 : Bath and North East Somerset 003","E02002988 : Bath and North East Somerset 004","E02002989 : Bath and North East Somerset 005","E02002990 : Bath and North East Somerset 006","E02002991 : Bath and North East Somerset 007","E02002992 : Bath and North East Somerset 008","E02002993 : Bath and North East Somerset 009","E02002994 : Bath and North East Somerset 010","E02002995 : Bath and North East Somerset 011","E02002996 : Bath and North East Somerset 012","E02002997 : Bath and North East Somerset 013","E02002998 : Bath and North East Somerset 014","E02002999 : Bath and North East Somerset 015","E02003000 : Bath and North East Somerset 016","E02003001 : Bath and North East Somerset 017","E02003002 : Bath and North East Somerset 018","E02003003 : Bath and North East Somerset 019","E02003004 : Bath and North East Somerset 020","E02003005 : Bath and North East Somerset 021","E02003006 : Bath and North East Somerset 022","E02003007 : Bath and North East Somerset 023","E02003008 : Bath and North East Somerset 024","E02003009 : Bath and North East Somerset 025","E02003010 : Bath and North East Somerset 026","E02003011 : Bath and North East Somerset 027","E02003012 : Bristol 001","E02003013 : Bristol 002","E02003014 : Bristol 003","E02003015 : Bristol 004","E02003016 : Bristol 005","E02003017 : Bristol 006","E02003018 : Bristol 007","E02003019 : Bristol 008","E02003020 : Bristol 009","E02003021 : Bristol 010","E02003022 : Bristol 011","E02003023 : Bristol 012","E02003024 : Bristol 013","E02003025 : Bristol 014","E02003026 : Bristol 015","E02003027 : Bristol 016","E02003028 : Bristol 017","E02003029 : Bristol 018","E02003030 : Bristol 019","E02003031 : Bristol 020","E02003032 : Bristol 021","E02003033 : Bristol 022","E02003034 : Bristol 023","E02003036 : Bristol 025","E02003037 : Bristol 026","E02003038 : Bristol 027","E02003039 : Bristol 028","E02003040 : Bristol 029","E02003041 : Bristol 030","E02003043 : Bristol 032","E02003044 : Bristol 033","E02003045 : Bristol 034","E02003046 : Bristol 035","E02003047 : Bristol 036","E02003048 : Bristol 037","E02003049 : Bristol 038","E02003050 : Bristol 039","E02003051 : Bristol 040","E02003052 : Bristol 041","E02003053 : Bristol 042","E02003054 : Bristol 043","E02003055 : Bristol 044","E02003056 : Bristol 045","E02003057 : Bristol 046","E02003058 : Bristol 047","E02003059 : Bristol 048","E02003060 : Bristol 049","E02003061 : Bristol 050","E02003062 : Bristol 051","E02003063 : Bristol 052","E02003064 : Bristol 053","E02006887 : Bristol 054","E02006888 : Bristol 055","E02006889 : Bristol 056","E02006890 : Bristol 057","E02003065 : North Somerset 001","E02003066 : North Somerset 002","E02003067 : North Somerset 003","E02003068 : North Somerset 004","E02003069 : North Somerset 005","E02003070 : North Somerset 006","E02003071 : North Somerset 007","E02003072 : North Somerset 008","E02003073 : North Somerset 009","E02003074 : North Somerset 010","E02003075 : North Somerset 011","E02003076 : North Somerset 012","E02003077 : North Somerset 013","E02003078 : North Somerset 014","E02003079 : North Somerset 015","E02003080 : North Somerset 016","E02003081 : North Somerset 017","E02003082 : North Somerset 018","E02003084 : North Somerset 020","E02003085 : North Somerset 021","E02003086 : North Somerset 022","E02003087 : North Somerset 023","E02003088 : North Somerset 024","E02003089 : North Somerset 025","E02006845 : North Somerset 026","E02006846 : North Somerset 027","E02003090 : South Gloucestershire 001","E02003091 : South Gloucestershire 002","E02003092 : South Gloucestershire 003","E02003093 : South Gloucestershire 004","E02003094 : South Gloucestershire 005","E02003095 : South Gloucestershire 006","E02003096 : South Gloucestershire 007","E02003097 : South Gloucestershire 008","E02003098 : South Gloucestershire 009","E02003099 : South Gloucestershire 010","E02003100 : South Gloucestershire 011","E02003101 : South Gloucestershire 012","E02003102 : South Gloucestershire 013","E02003103 : South Gloucestershire 014","E02003104 : South Gloucestershire 015","E02003105 : South Gloucestershire 016","E02003106 : South Gloucestershire 017","E02003107 : South Gloucestershire 018","E02003108 : South Gloucestershire 019","E02003109 : South Gloucestershire 020","E02003110 : South Gloucestershire 021","E02003111 : South Gloucestershire 022","E02003112 : South Gloucestershire 023","E02003113 : South Gloucestershire 024","E02003114 : South Gloucestershire 025","E02003115 : South Gloucestershire 026","E02003116 : South Gloucestershire 027","E02003117 : South Gloucestershire 028","E02003118 : South Gloucestershire 029","E02003119 : South Gloucestershire 030","E02003120 : South Gloucestershire 031","E02003121 : South Gloucestershire 032"

"E02002985 : Bath and North East Somerset 001",59,53,62,3,1,1,45,49,16,10,16,22,6,2,2,32,8,5,6,10,5,9,9,3,7,8,5,2,2,4,9,2,0,1,12,1,0,1,3,5,3,1,2,2,1,1,0,13,2,6,10,1,3,2,10,3,56,0,1,15,6,2,36,8,1,10,9,21,2,12,9,10,10,3,0,2,7,8,36,6,19,2,1,5,3,5,1,5,0,3,0,0,3,2,5,1,0,0,0,0,0,0,0,0,2,2,0,0,4,2,3,4,4,3,0,6,9,1,19,1,0,1,0,0,33,8,29,0,9,1,0,10,9,7,3,8,9,8,10,34
"E02002986 : Bath and North East Somerset 002",62,64,60,3,2,0,66,47,18,9,18,37,3,2,3,37,12,6,3,9,3,12,4,8,4,4,3,1,1,9,4,0,2,1,9,0,1,1,0,9,3,2,5,1,2,6,2,7,2,5,4,2,1,0,8,3,43,1,1,18,1,0,36,12,1,8,4,19,1,4,6,9,2,3,0,1,5,13,39,6,19,2,1,3,0,7,0,6,0,4,0,0,1,5,11,3,0,1,0,0,3,0,0,0,7,1,0,2,1,1,5,3,9,6,3,3,5,0,16,3,0,0,0,0,36,16,20,0,5,4,0,24,9,10,6,14,11,6,8,16
"E02002987 : Bath and North East Somerset 003",62,52,89,0,2,3,61,60,24,7,4,30,6,3,4,35,12,12,3,13,14,16,11,3,10,4,6,3,3,2,7,3,0,1,6,0,1,0,1,15,3,2,2,0,0,2,3,14,8,10,6,4,0,5,7,5,65,2,4,18,8,0,36,16,1,11,5,34,1,7,9,10,9,7,4,0,13,9,37,3,23,2,2,4,3,4,1,3,0,4,0,1,3,1,4,2,1,0,0,0,2,0,0,0,1,0,0,0,4,3,5,2,9,2,0,2,8,0,19,1,0,1,0,4,68,2,22,1,8,7,0,6,6,9,5,19,8,12,14,25
"E02002988 : Bath and North East Somerset 004",3,8,2,35,7,22,139,81,37,26,16,113,13,10,1,6,26,23,9,4,0,15,2,2,1,6,2,1,1,2,3,1,0,0,3,0,0,0,1,3,3,5,0,1,0,0,1,0,2,3,2,1,1,0,2,1,17,0,0,3,4,0,5,1,0,2,0,2,0,2,0,3,0,1,0,0,1,0,17,2,2,0,1,0,1,0,1,3,0,1,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,2,2,2,2,3,0,13,0,1,1,1,1,37,8,9,0,1,2,0,8,0,2,2,3,4,3,2,3
"E02002989 : Bath and North East Somerset 005",4,13,8,6,28,5,133,64,44,16,22,75,19,17,5,15,20,29,6,2,0,13,5,4,4,5,3,1,1,1,4,1,0,0,1,0,0,0,0,4,2,5,0,2,0,1,2,2,2,4,2,3,0,0,0,3,18,0,0,1,3,0,5,2,0,3,0,6,0,6,0,1,1,0,0,0,2,2,14,1,1,0,0,0,1,3,0,3,0,0,0,0,0,0,3,2,0,0,0,1,2,0,0,0,2,0,0,0,1,1,2,1,2,0,0,2,1,0,9,0,0,0,0,0,29,3,2,0,3,2,0,10,0,4,2,5,4,2,4,2
"E02002990 : Bath and North East Somerset 006",14,10,1,10,4,10,94,73,30,29,17,96,2,4,2,9,17,17,13,6,3,13,2,3,9,5,1,1,1,2,4,0,1,0,0,0,0,0,0,9,1,2,1,0,0,1,2,2,5,0,4,5,0,0,0,2,18,0,1,3,4,0,3,1,0,1,0,2,0,1,0,0,1,2,0,0,1,3,6,0,3,0,0,0,1,1,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,3,1,3,1,1,5,0,11,1,0,1,0,1,39,3,11,0,3,0,0,17,2,1,0,1,3,0,4,2
"E02002991 : Bath and North East Somerset 007",1,12,5,9,6,9,129,81,35,24,18,122,11,7,1,18,11,18,4,0,1,16,2,3,8,1,4,1,0,3,8,0,3,0,0,0,0,0,3,4,0,1,2,0,2,0,0,1,2,2,4,2,0,0,0,3,30,0,0,5,0,1,1,1,2,1,0,4,0,0,1,2,0,3,0,1,2,3,23,1,3,0,1,0,3,2,0,1,0,2,0,0,0,1,10,0,0,0,0,0,2,0,0,0,1,0,1,0,3,0,3,4,0,2,1,7,3,1,10,1,0,1,0,3,41,9,8,0,2,0,0,9,1,4,0,1,5,3,0,3
"E02002992 : Bath and North East Somerset 008",7,13,6,9,14,4,143,63,43,10,17,70,19,6,2,11,26,24,10,4,2,17,6,8,14,10,7,1,1,1,9,0,0,0,2,0,0,0,1,6,2,6,1,0,1,0,0,3,2,6,3,3,0,4,3,0,23,1,1,2,1,0,8,5,1,2,0,5,1,3,1,3,3,0,1,0,1,0,19,0,2,0,1,2,1,1,1,3,1,0,0,0,0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,0,1,5,0,9,0,0,0,0,1,45,3,2,0,5,2,0,12,0,6,2,2,4,6,0,1
"E02002993 : Bath and North East Somerset 009",0,4,4,7,4,4,65,31,19,10,12,59,5,5,1,2,10,10,6,2,1,18,3,1,3,1,3,2,0,2,1,0,1,0,1,0,0,0,0,4,0,1,0,1,0,0,0,4,0,0,3,2,0,0,2,2,11,0,1,0,0,0,0,2,0,1,0,6,1,2,3,1,0,1,0,0,1,2,6,0,4,0,0,0,0,1,0,0,0,3,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,0,8,0,0,0,0,0,15,3,5,0,2,0,1,5,0,2,0,1,5,2,1,0
"E02002994 : Bath and North East Somerset 010",9,17,10,25,6,26,309,147,80,128,27,201,25,13,5,15,42,70,22,7,6,38,10,16,14,12,3,1,3,6,4,0,2,0,3,0,1,1,0,4,1,6,2,0,0,2,1,4,4,7,3,5,1,0,1,1,49,0,0,4,1,0,6,6,0,3,2,1,0,3,2,0,0,1,0,0,3,5,34,3,3,2,0,2,0,2,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,4,1,4,3,6,0,0,5,9,1,16,0,0,0,2,0,49,7,8,0,7,1,0,19,0,0,1,5,6,7,2,2
"E02002995 : Bath and North East Somerset 011",3,7,12,6,11,10,109,95,44,14,60,97,21,17,5,11,32,19,15,0,2,14,6,4,7,5,6,0,0,1,0,0,1,0,2,0,1,0,0,2,1,0,1,0,1,0,1,2,0,2,2,0,0,0,1,1,8,0,0,2,1,0,3,5,0,1,1,4,1,3,1,1,2,2,1,0,0,3,7,1,4,0,0,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,4,1,1,0,0,0,6,2,5,0,0,0,0,4,0,1,1,2,5,1,0,3
"E02002996 : Bath and North East Somerset 012",4,9,3,15,4,10,100,59,28,15,12,110,10,12,4,10,18,29,9,2,2,30,4,0,2,15,3,2,0,2,5,0,0,0,1,1,3,0,0,3,0,1,1,0,0,0,0,1,0,1,3,2,0,0,0,1,16,0,0,2,1,1,6,2,0,1,0,3,0,2,1,4,1,0,0,0,1,3,17,0,0,1,0,0,1,6,0,2,0,0,0,1,4,4,2,1,1,0,0,0,1,0,0,0,2,2,0,0,0,0,3,0,2,0,0,3,0,0,12,0,0,2,0,1,25,3,4,0,6,4,0,9,0,2,3,3,3,3,1,2
"E02002997 : Bath and North East Somerset 013",3,10,6,5,8,3,105,53,27,17,23,86,24,12,6,9,22,18,8,4,4,24,7,7,4,16,7,0,1,1,2,0,2,0,3,1,0,1,0,2,0,2,0,1,0,0,1,1,2,3,1,3,0,2,0,2,18,0,0,2,2,0,3,1,0,0,0,1,0,7,0,4,0,2,1,0,1,1,8,0,6,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,3,1,2,0,0,2,3,1,6,1,0,0,0,0,15,5,5,1,3,1,0,9,1,1,2,6,1,5,0,2
"E02002998 : Bath and North East Somerset 014",3,10,8,4,9,11,87,65,32,25,18,88,14,17,6,6,30,29,16,2,4,24,4,9,9,11,2,0,0,2,3,0,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,0,1,3,0,0,2,1,0,1,2,2,0,0,1,4,0,1,2,0,1,0,13,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,5,0,0,1,0,0,7,0,0,0,0,0,16,2,5,0,0,1,0,4,0,0,0,1,3,0,0,1
"E02002999 : Bath and North East Somerset 015",10,7,13,9,15,17,164,93,59,21,33,147,37,28,21,16,30,29,14,6,2,25,3,11,6,8,4,0,0,1,3,0,0,0,0,0,0,0,0,0,6,6,0,4,0,0,1,1,2,5,3,4,0,0,0,1,15,0,1,5,2,1,4,2,0,3,1,3,0,4,0,2,1,1,0,0,0,3,18,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,0,0,2,3,0,5,0,0,0,0,0,23,1,2,0,1,0,0,6,1,0,0,2,10,3,1,3
"E02003000 : Bath and North East Somerset 016",39,65,79,5,12,5,217,153,76,20,25,101,19,13,10,162,38,39,14,25,19,59,61,25,42,52,10,0,2,5,3,1,4,0,7,2,0,1,3,9,9,8,5,2,4,3,0,6,6,12,10,8,4,5,14,5,88,2,0,12,7,2,32,9,1,20,11,27,1,8,5,11,5,10,3,2,4,13,68,10,13,5,1,8,0,1,1,6,1,0,1,0,4,1,14,1,0,1,0,0,0,3,0,0,8,1,0,0,7,1,3,4,11,5,3,3,17,0,17,0,1,0,1,2,77,12,17,2,6,5,0,14,4,6,0,20,13,19,14,17
"E02003001 : Bath and North East Somerset 017",3,11,3,11,6,6,110,87,40,21,29,123,19,19,4,11,47,39,12,3,1,28,9,10,4,7,6,1,1,0,0,0,2,0,2,1,0,0,0,4,2,0,0,0,0,1,0,2,1,5,2,1,0,0,0,5,33,0,0,5,2,1,4,1,0,1,0,1,0,0,3,3,3,1,0,0,2,1,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,1,0,1,0,4,1,0,6,0,0,0,0,0,25,2,5,1,2,2,0,2,1,0,0,2,2,2,3,0
"E02003002 : Bath and North East Somerset 018",5,7,10,6,6,5,127,69,50,40,12,110,9,10,5,22,40,61,12,4,3,30,5,1,7,10,7,0,0,4,0,0,0,0,2,0,1,0,0,4,2,4,1,0,0,0,2,3,2,1,2,1,1,0,0,2,21,0,0,1,0,0,2,0,0,1,0,4,2,2,0,1,1,0,0,0,1,1,4,3,2,0,0,0,1,2,0,1,1,1,1,0,1,2,6,0,0,1,0,0,0,0,1,0,4,1,0,0,2,1,0,0,2,0,0,0,3,0,6,0,0,0,0,0,18,0,4,0,0,1,0,5,1,2,0,4,2,2,0,2
"E02003003 : Bath and North East Somerset 019",10,5,5,11,15,14,164,106,64,32,34,153,19,27,8,25,58,50,30,4,2,29,10,15,16,13,15,1,0,2,1,0,2,0,2,0,0,1,0,4,2,1,3,2,0,0,0,3,0,4,4,0,1,2,2,3,17,0,0,5,1,2,5,6,0,1,2,5,0,2,1,1,2,0,0,0,0,2,11,5,6,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,1,1,0,3,0,1,5,3,0,6,0,0,0,2,1,20,1,5,0,2,0,0,4,0,1,0,3,2,0,2,2
"E02003004 : Bath and North East Somerset 020",21,29,25,2,3,3,52,46,26,7,7,20,6,6,1,35,8,11,6,121,99,16,44,11,28,42,13,1,4,6,7,3,4,0,14,2,1,1,2,6,6,4,5,3,3,6,2,6,5,12,16,12,1,1,8,8,109,0,2,15,13,3,30,41,3,17,21,30,2,29,21,37,16,16,6,1,18,26,69,8,26,0,2,6,5,7,3,6,1,9,2,2,4,6,33,5,0,0,0,1,2,2,0,0,18,2,2,2,1,3,6,4,12,6,0,3,10,0,16,1,0,1,0,1,29,8,11,0,4,1,3,7,2,4,0,3,9,1,2,5
"E02003005 : Bath and North East Somerset 021",10,13,6,1,2,0,55,22,10,5,14,19,2,2,0,21,4,11,8,52,256,9,34,7,23,12,9,0,1,4,7,3,5,0,13,3,0,2,1,7,6,3,7,1,0,1,2,2,13,10,17,19,1,0,2,14,161,0,5,5,11,0,12,17,3,14,11,16,3,13,27,12,18,4,1,4,9,11,85,0,14,1,2,2,5,6,4,14,2,7,3,1,8,8,54,6,0,3,0,1,4,4,0,1,55,4,4,4,3,0,8,7,4,1,0,2,7,0,12,0,0,1,1,0,28,13,6,0,8,1,0,8,2,4,1,10,3,2,2,6
"E02003006 : Bath and North East Somerset 022",21,11,19,6,11,18,292,177,99,45,49,186,29,21,12,63,76,62,29,15,8,130,64,51,110,104,32,0,1,3,2,1,1,0,4,2,5,2,2,7,5,6,1,1,0,2,2,4,1,7,2,6,2,0,0,3,40,0,1,1,1,0,9,4,1,4,1,12,2,7,6,6,3,1,0,0,3,7,30,0,8,3,1,4,0,1,1,7,0,1,0,0,3,1,7,2,0,1,0,0,0,1,0,0,4,3,0,0,2,1,6,1,4,0,0,1,6,0,15,0,0,0,0,1,50,6,10,0,3,1,0,9,2,2,0,3,6,3,1,4
"E02003007 : Bath and North East Somerset 023",27,32,31,4,5,10,172,131,34,22,37,83,7,11,3,73,27,25,12,81,33,60,263,61,160,201,46,1,2,2,3,1,2,1,7,3,0,2,2,4,3,9,2,1,1,2,3,4,8,10,10,3,0,0,6,6,67,2,0,10,7,1,13,10,0,10,7,11,2,16,10,11,7,3,1,0,4,7,58,4,24,0,3,6,0,4,0,7,0,0,4,3,4,5,17,2,1,0,0,0,4,1,0,0,17,0,0,1,1,1,6,1,6,4,0,1,4,0,8,1,0,0,0,1,39,7,23,0,2,4,0,4,6,2,0,6,5,3,6,10
"E02003008 : Bath and North East Somerset 024",7,13,18,4,3,6,132,78,47,26,30,75,15,8,5,28,33,20,4,15,8,53,71,116,100,166,19,0,1,2,1,0,1,0,2,0,0,0,1,3,0,3,0,1,0,0,0,1,0,1,1,3,0,0,1,1,24,1,0,3,1,1,7,1,0,0,0,7,0,3,2,2,3,2,0,0,5,1,17,1,4,1,0,1,0,0,0,1,0,0,2,0,0,0,9,1,0,1,0,1,3,1,0,0,8,0,0,0,1,0,1,3,0,0,0,2,8,0,9,0,0,0,0,0,20,5,5,0,0,0,0,2,1,3,0,3,1,4,0,0
"E02003009 : Bath and North East Somerset 025",9,15,5,4,2,8,153,57,28,23,30,63,11,1,4,20,23,28,11,24,15,39,131,71,165,227,55,0,0,0,2,0,0,0,2,0,0,0,0,1,4,1,1,0,1,1,0,3,0,5,2,3,0,0,1,2,31,0,1,2,4,0,9,2,1,3,0,9,0,3,1,7,7,0,1,0,2,3,18,1,7,0,2,3,0,3,2,5,1,1,1,1,0,1,13,1,1,0,0,1,0,0,0,0,8,0,0,1,1,1,2,3,4,0,0,1,3,0,5,1,0,0,1,0,32,0,11,0,3,1,0,3,3,3,0,1,5,2,1,2
"E02003010 : Bath and North East Somerset 026",5,8,12,1,4,7,130,73,43,27,29,46,7,4,7,29,23,21,4,29,3,53,102,89,193,222,36,0,0,2,1,0,0,0,4,1,1,0,0,2,5,0,3,0,0,0,2,1,1,7,3,1,0,0,2,0,20,0,0,2,0,0,7,5,3,4,0,8,0,2,2,1,1,2,1,0,0,3,19,0,5,0,0,1,1,1,0,2,0,0,3,1,3,2,5,1,0,1,0,0,1,1,0,1,10,1,1,0,0,1,2,1,2,2,0,2,2,0,5,0,0,0,0,1,26,8,10,0,3,0,0,4,1,1,2,0,5,0,2,2
"E02003011 : Bath and North East Somerset 027",5,7,4,0,2,1,87,57,22,13,13,30,9,6,2,23,20,19,5,22,16,32,80,59,152,220,54,0,0,0,0,0,0,0,3,0,0,0,0,4,1,2,0,0,0,0,0,3,0,1,3,1,0,0,3,1,21,1,2,5,3,0,6,2,0,2,2,7,0,6,5,4,1,0,0,0,0,3,15,1,7,1,0,3,0,1,1,8,1,0,0,0,1,1,4,0,1,0,0,0,1,0,0,0,4,1,0,2,1,1,4,0,4,1,0,1,1,0,9,0,0,1,0,0,18,1,4,0,1,0,0,2,0,0,1,1,1,0,0,2
"E02003012 : Bristol 001",4,1,7,0,0,0,5,12,1,1,1,4,0,0,0,3,2,1,0,3,3,2,5,0,0,0,0,102,55,113,126,9,75,1,130,51,10,20,5,18,24,34,33,21,5,7,6,3,29,40,38,28,7,1,11,36,185,1,2,13,21,2,11,20,2,18,3,7,0,9,5,8,17,4,1,1,4,7,82,12,23,4,5,5,3,19,4,20,1,4,2,1,8,3,12,2,0,2,0,2,2,1,1,0,1,3,2,3,7,21,24,19,236,3,4,6,40,2,104,9,3,0,1,7,119,85,20,1,9,3,3,2,12,10,0,6,2,4,0,4
"E02003013 : Bristol 002",7,0,0,2,1,0,4,2,4,0,2,3,0,0,0,0,1,1,0,3,2,2,5,1,0,0,0,52,112,72,143,11,70,5,92,40,10,16,2,19,34,29,31,23,3,7,27,9,18,23,34,23,0,2,26,24,158,1,6,18,13,1,8,14,0,15,5,15,0,16,8,10,3,2,1,1,1,10,84,16,30,3,1,7,6,35,0,23,5,3,3,1,1,7,10,3,1,0,1,1,3,2,0,0,3,0,1,2,4,27,10,18,206,6,0,5,57,2,93,12,0,0,3,3,134,102,27,2,17,2,2,5,9,8,0,11,5,1,7,6
"E02003014 : Bristol 003",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,3,0,0,0,0,19,17,185,35,4,41,21,260,17,6,13,2,9,9,44,20,9,3,1,11,6,9,7,14,11,1,2,16,19,77,2,6,5,7,0,5,14,0,18,2,6,1,7,4,8,6,1,1,0,0,16,31,8,21,4,6,3,4,36,4,27,1,5,2,2,4,3,1,0,1,0,0,0,0,0,0,1,1,0,1,4,9,7,15,5,152,3,1,2,23,0,34,3,0,0,4,0,36,33,14,0,2,0,0,7,0,4,1,10,1,0,4,3
"E02003015 : Bristol 004",3,4,2,0,0,0,6,1,1,0,2,3,0,0,0,2,0,0,0,2,1,1,1,2,0,0,0,13,21,43,61,12,28,4,26,16,7,19,1,7,19,8,32,16,5,6,12,9,8,17,9,17,0,4,4,16,104,2,2,8,2,0,5,7,0,5,1,8,1,4,5,5,2,2,0,0,0,5,48,13,7,6,3,1,8,11,1,10,3,1,1,0,1,4,3,0,0,3,0,0,1,1,0,0,2,1,1,0,6,4,8,12,56,1,1,2,32,2,52,7,2,0,3,6,73,49,13,1,5,3,0,0,6,4,0,10,4,1,2,3
"E02003016 : Bristol 005",2,3,1,0,0,1,6,2,1,0,2,4,1,0,0,5,0,0,0,5,0,0,4,0,0,2,0,12,17,24,76,30,22,0,47,9,10,17,9,23,34,7,46,16,3,10,15,14,15,33,23,15,0,4,10,19,134,1,1,13,11,2,11,17,1,12,2,11,1,7,11,4,3,1,0,0,0,11,52,8,20,7,1,0,6,14,1,6,1,4,1,0,1,2,3,0,0,0,2,1,1,3,0,0,5,1,1,0,14,16,17,8,60,3,4,1,52,1,64,4,1,0,1,2,115,68,24,0,17,1,3,4,3,8,0,9,5,3,4,3
"E02003017 : Bristol 006",3,3,0,1,0,3,3,4,3,0,1,1,2,0,0,3,0,2,2,2,2,0,0,0,0,1,2,11,19,25,52,16,60,3,21,18,5,12,3,8,11,12,13,24,3,4,11,14,19,17,20,44,2,1,7,32,191,2,2,4,3,0,7,12,3,7,2,7,0,5,2,1,5,4,2,0,5,5,57,3,15,4,5,8,12,9,1,9,1,3,0,1,7,3,3,2,3,1,1,0,1,1,0,0,4,2,1,2,9,10,5,6,42,2,1,2,24,0,43,4,0,0,0,4,97,44,25,0,8,1,1,2,3,4,0,8,2,0,2,0
